area,lat,lon,legal,direction,front_width,access_road,floors,bedrooms,bathrooms,interior,is_car_accessible,is_corner,price
31.5,10.79831089,106.6884345,Sổ hồng/Sổ đỏ,Chưa xác định,3.5,6.5,3,3.0,4.0,Thỏa thuận,1,0,4.99
145.0,10.84391279,106.6492272,Sổ hồng/Sổ đỏ,Chưa xác định,7.5,10.0,4,9.0,9.0,Đầy đủ,1,0,13.5
52.0,10.7988369,106.8128724,Sổ hồng/Sổ đỏ,Bắc,4.0,9.0,4,4.0,3.0,Cơ bản,1,0,5.5
64.0,10.79405181,106.6686196,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,16.0,2,4.0,4.0,Đầy đủ,1,0,8.2
176.0,10.79074234,106.6372734,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,20.0,1,4.0,4.0,Thỏa thuận,1,1,40.0
161.0,10.84188501,106.6569434,Sổ hồng/Sổ đỏ,Chưa xác định,6.5,6.0,4,15.0,15.0,Đầy đủ,1,0,15.5
51.0,2.0,106.6909365,Sổ hồng/Sổ đỏ,Chưa xác định,4.3,3.0,2,2.0,2.0,Đầy đủ,0,1,9.95
105.0,10.84557094,106.6647812,Sổ hồng/Sổ đỏ,Chưa xác định,4.9,2.5,3,3.0,3.0,Thỏa thuận,0,0,7.5
198.0,10.8495452,106.6513166,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,2.5,4,4.0,4.0,Nhà trống,0,0,35.0
48.0,10.77619681,106.6108375,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,6.0,2,2.0,2.0,Cơ bản,1,1,4.7
480.0,10.80302924,106.692339,Giấy tờ khác,Chưa xác định,16.0,2.5,9,4.0,4.0,Nhà trống,0,0,98.0
49.0,10.73777691,106.7208425,Sổ hồng/Sổ đỏ,Chưa xác định,7.0,6.0,4,6.0,7.0,Đầy đủ,1,1,9.6
278.8,10.77708555,106.6339078,Sổ hồng/Sổ đỏ,Chưa xác định,11.6,23.0,1,4.0,4.0,Nhà trống,1,0,52.0
76.2,10.79998385,106.6307842,Sổ hồng/Sổ đỏ,Chưa xác định,4.4,20.0,2,4.0,4.0,Thỏa thuận,1,1,14.0
51.0,10.74526969,106.730494,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,2.0,3,2.0,3.0,Đầy đủ,0,0,5.668
32.0,10.74934261,106.6393409,Sổ hồng/Sổ đỏ,Chưa xác định,3.0,2.5,2,2.0,2.0,Cơ bản,0,0,4.05
39.0,10.7845188,106.6422278,Sổ hồng/Sổ đỏ,Chưa xác định,3.8,8.0,1,4.0,4.0,Đầy đủ,1,0,5.45
69.0,10.78653058,106.6277635,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,4.0,3,4.0,2.0,Cơ bản,1,0,7.5
39.0,10.75928226,106.6991706,Sổ hồng/Sổ đỏ,Chưa xác định,3.0,2.5,1,2.0,2.0,Đầy đủ,0,0,4.7
210.0,10.8417419,106.6769164,Sổ hồng/Sổ đỏ,Chưa xác định,12.0,2.5,2,4.0,4.0,Đầy đủ,0,0,21.0
48.0,10.76609517,106.64218,Sổ hồng/Sổ đỏ,Chưa xác định,3.6,4.0,2,6.0,3.0,Thỏa thuận,1,0,6.2
75.0,10.81514811,106.830752,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,6.0,2,3.0,3.0,Đầy đủ,1,0,4.48
112.5,10.793765,106.6628347,Sổ hồng/Sổ đỏ,Chưa xác định,4.5,25.0,2,4.0,4.0,Thỏa thuận,1,1,13.5
63.28,10.70662492,106.7437681,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,4.0,2,2.0,2.0,Đầy đủ,1,0,5.5
35.0,10.82972322,106.6712171,Sổ hồng/Sổ đỏ,Chưa xác định,3.0,2.0,2,3.0,2.0,Đầy đủ,0,0,4.75
76.0,10.77919194,106.7050071,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,5.0,5,4.0,4.0,Cơ bản,1,1,27.0
220.0,10.8417499,106.6770768,Giấy tờ khác,Chưa xác định,6.0,16.0,8,19.0,19.0,Đầy đủ,1,0,45.0
80.0,10.79747673,106.696444,Sổ hồng/Sổ đỏ,Tây Nam,4.3,6.0,6,12.0,12.0,Đầy đủ,1,0,19.5
76.0,10.7905443,106.633207,Giấy tờ khác,Chưa xác định,4.0,19.0,1,4.0,4.0,Nhà trống,1,0,7.4
184.0,10.80689874,106.7192003,Giấy tờ khác,Chưa xác định,5.6,5.6,8,4.0,4.0,Nhà trống,1,0,57.0
250.0,10.71126327,106.6936493,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,2.5,2,10.0,10.0,Đầy đủ,0,0,17.5
90.0,10.73353079,106.6972723,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,2.5,2,4.0,6.0,Đầy đủ,0,0,18.6
112.0,10.79700292,106.6232692,Sổ hồng/Sổ đỏ,Chưa xác định,5.6,20.0,1,4.0,4.0,Nhà trống,1,0,9.5
62.0,10.78575491,106.7724072,Sổ hồng/Sổ đỏ,Chưa xác định,4.5,12.0,2,3.0,2.0,Đầy đủ,1,0,6.98
358.0,10.9979366,106.5267328,Sổ hồng/Sổ đỏ,Chưa xác định,8.0,8.0,1,3.0,2.0,Đầy đủ,1,0,4.4
90.0,10.79160581,106.661748,Sổ hồng/Sổ đỏ,Chưa xác định,4.6,5.0,2,4.0,4.0,Thỏa thuận,1,0,11.8
160.0,10.8026663,106.658911,Sổ hồng/Sổ đỏ,Chưa xác định,8.0,20.0,7,4.0,4.0,Thỏa thuận,1,0,30.0
270.0,10.79342721,106.7180839,Sổ hồng/Sổ đỏ,Chưa xác định,13.5,25.0,5,4.0,4.0,Nhà trống,1,0,45.0
80.0,10.777635,106.6558855,Sổ hồng/Sổ đỏ,Chưa xác định,5.4,2.5,5,6.0,7.0,Đầy đủ,0,0,16.5
50.0,10.79186562,106.6480337,Sổ hồng/Sổ đỏ,Chưa xác định,4.3,6.0,4,4.0,4.0,Cơ bản,1,0,10.9
96.0,10.8577236,106.74098,Hợp đồng mua bán,Chưa xác định,5.0,5.0,1,4.0,3.0,Đầy đủ,1,0,7.35
56.0,10.79892691,106.6830378,Sổ hồng/Sổ đỏ,Nam,3.6,2.5,4,4.0,4.0,Đầy đủ,0,0,11.7
38.0,10.79900864,106.6882969,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,4.5,4,4.0,5.0,Nhà trống,1,0,7.2
67.2,10.75967516,106.7379032,Sổ hồng/Sổ đỏ,Chưa xác định,4.2,4.2,3,3.0,4.0,Đầy đủ,1,0,8.5
44.0,10.83805255,106.636682,Sổ hồng/Sổ đỏ,Đông,4.0,3.0,4,4.0,5.0,Đầy đủ,0,0,6.7
60.0,10.72634698,106.7335757,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,3.0,3,4.0,4.0,Đầy đủ,0,0,6.9
104.0,10.76261107,106.6708925,Sổ hồng/Sổ đỏ,Chưa xác định,20.0,20.0,4,5.0,4.0,Đầy đủ,1,0,42.0
140.0,10.83182544,106.6826922,Sổ hồng/Sổ đỏ,Chưa xác định,8.0,32.0,2,4.0,4.0,Thỏa thuận,1,0,17.9
30.0,10.7795698,106.6672343,Sổ hồng/Sổ đỏ,Chưa xác định,3.0,2.5,3,3.0,3.0,Thỏa thuận,0,0,5.5
35.4,10.82938012,106.6712592,Sổ hồng/Sổ đỏ,Tây Nam,2.9,2.5,2,2.0,2.0,Đầy đủ,0,0,4.75
70.0,10.80451449,106.625675,Sổ hồng/Sổ đỏ,Chưa xác định,3.8,8.0,4,4.0,4.0,Đầy đủ,1,0,7.8
47.0,10.75155287,106.7019868,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,10.0,2,2.0,2.0,Nhà trống,1,0,5.5
36.0,10.77876376,106.6350991,Sổ hồng/Sổ đỏ,Chưa xác định,3.2,20.0,3,2.0,3.0,Đầy đủ,1,0,6.8
375.8,10.74064615,106.6388448,Sổ hồng/Sổ đỏ,Chưa xác định,4.9,16.0,1,1.0,1.0,Đầy đủ,1,0,32.0
30.0,10.81891326,106.5998462,Sổ hồng/Sổ đỏ,Chưa xác định,3.5,8.0,4,4.0,3.0,Đầy đủ,1,0,2.88
72.0,10.81192452,106.7759609,Sổ hồng/Sổ đỏ,Chưa xác định,4.9,2.5,4,5.0,5.0,Đầy đủ,0,0,8.23
198.0,10.80314414,106.6924396,Sổ hồng/Sổ đỏ,Chưa xác định,4.5,30.0,8,4.0,4.0,Đầy đủ,1,0,38.0
73.0,10.74948525,106.6441312,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,20.0,3,4.0,4.0,Thỏa thuận,1,0,21.0
56.0,10.85225489,106.6560814,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,6.0,5,3.0,5.0,Đầy đủ,1,0,10.9
50.0,10.7965234,106.6907674,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,10.0,4,4.0,4.0,Đầy đủ,1,1,19.0
82.4,10.82905367,106.7906717,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,7.0,3,5.0,5.0,Cơ bản,1,0,7.2
65.0,10.73823152,106.7229396,Sổ hồng/Sổ đỏ,Chưa xác định,4.9,6.0,3,4.0,4.0,Đầy đủ,1,0,5.5
172.0,10.77510705,106.664427,Sổ hồng/Sổ đỏ,Chưa xác định,9.0,20.0,3,4.0,4.0,Nhà trống,1,1,41.0
52.0,10.81229205,106.6951931,Sổ hồng/Sổ đỏ,Chưa xác định,4.9,4.0,2,3.0,2.0,Thỏa thuận,1,0,5.7
52.0,10.85486633,106.7532774,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,6.0,2,2.0,1.0,Đầy đủ,1,0,5.3
60.0,10.83219501,106.7304808,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,5.0,4,5.0,4.0,Đầy đủ,1,0,7.5
36.0,10.79828046,106.6883055,Giấy tờ khác,Chưa xác định,4.0,4.0,3,2.0,3.0,Đầy đủ,1,1,6.95
72.0,10.7373696,106.7114104,Giấy tờ khác,Chưa xác định,4.0,30.0,4,5.0,6.0,Nhà trống,1,0,22.0
125.0,10.83118388,106.775137,Giấy tờ khác,Chưa xác định,5.0,2.5,1,4.0,4.0,Thỏa thuận,0,1,17.5
65.0,10.84627791,106.6604056,Sổ hồng/Sổ đỏ,Chưa xác định,4.9,2.5,3,3.0,4.0,Đầy đủ,0,0,7.35
85.3,10.82992545,106.7023713,Sổ hồng/Sổ đỏ,Chưa xác định,8.0,4.0,2,5.0,5.0,Nhà trống,1,0,14.95
76.0,10.77155959,106.6294699,Sổ hồng/Sổ đỏ,Bắc,4.0,4.0,4,8.0,9.0,Thỏa thuận,1,0,15.5
101.9,10.791589,106.685293,Sổ hồng/Sổ đỏ,Đông Nam,4.2,4.0,5,4.0,4.0,Đầy đủ,1,0,36.8
111.0,10.78656463,106.6572103,Sổ hồng/Sổ đỏ,Chưa xác định,5.1,8.0,5,6.0,7.0,Đầy đủ,1,0,20.5
109.0,10.83076604,106.7053639,Sổ hồng/Sổ đỏ,Chưa xác định,4.9,5.0,3,4.0,6.0,Đầy đủ,1,0,21.0
131.0,10.79377634,106.6425193,Sổ hồng/Sổ đỏ,Chưa xác định,7.0,40.0,2,4.0,4.0,Thỏa thuận,1,0,20.0
40.0,10.81069612,106.5746268,Hợp đồng mua bán,Chưa xác định,4.0,4.0,1,2.0,2.0,Cơ bản,1,0,1.59
70.0,10.78491858,106.6271868,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,6.0,5,7.0,5.0,Đầy đủ,1,0,7.69
150.0,10.7556587,106.6857053,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,2.5,8,4.0,4.0,Thỏa thuận,0,1,37.0
36.2,10.80890943,106.6768707,Sổ hồng/Sổ đỏ,Chưa xác định,8.9,3.0,3,3.0,4.0,Nhà trống,0,0,7.5
260.0,10.88029672,106.6509408,Sổ hồng/Sổ đỏ,Tây Nam,9.0,20.0,8,10.0,12.0,Đầy đủ,1,0,35.0
80.0,10.79394534,106.668527,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,2.5,5,4.0,4.0,Nhà trống,0,0,17.9
32.0,10.81595323,106.6950054,Sổ hồng/Sổ đỏ,Chưa xác định,3.0,7.0,3,4.0,4.0,Đầy đủ,1,1,7.88
70.0,10.76302075,106.6748966,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,20.0,3,4.0,3.0,Thỏa thuận,1,0,20.0
162.0,10.8548254,106.7682622,Sổ hồng/Sổ đỏ,Chưa xác định,12.0,2.5,4,4.0,4.0,Cơ bản,0,0,32.0
57.0,10.78458048,106.6828206,Sổ hồng/Sổ đỏ,Tây Bắc,4.1,3.0,3,3.0,4.0,Đầy đủ,0,0,9.2
68.0,10.78041415,106.6168232,Giấy tờ khác,Chưa xác định,4.0,17.3,3,4.0,4.0,Thỏa thuận,1,0,9.3
174.0,10.82872687,106.6173221,Sổ hồng/Sổ đỏ,Chưa xác định,5.9,8.0,1,2.0,1.0,Nhà trống,1,0,9.3
215.0,10.77551683,106.6309527,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,2.5,2,3.0,4.0,Đầy đủ,0,0,30.0
130.0,10.77371465,106.6777602,Giấy tờ khác,Đông Nam,5.5,25.0,7,4.0,4.0,Thỏa thuận,1,0,26.0
67.3,10.79753826,106.6809768,Sổ hồng/Sổ đỏ,Chưa xác định,2.0,2.0,3,3.0,3.0,Nhà trống,0,0,27.0
60.0,10.78925585,106.6352731,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,2.5,2,2.0,2.0,Nhà trống,0,0,4.8
56.0,10.80307473,106.6302975,Sổ hồng/Sổ đỏ,Chưa xác định,4.2,56.0,1,3.0,2.0,Đầy đủ,1,0,5.67
110.0,10.8435885,106.6488417,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,8.0,6,6.0,5.0,Đầy đủ,1,0,12.8
80.0,10.8118575,106.7094189,Giấy tờ khác,Chưa xác định,4.0,2.5,1,4.0,4.0,Nhà trống,0,0,14.5
32.0,10.77214359,106.6798248,Sổ hồng/Sổ đỏ,Chưa xác định,3.2,4.0,5,4.0,5.0,Đầy đủ,1,0,9.0
380.0,10.65816439,106.6120262,Sổ hồng/Sổ đỏ,Chưa xác định,11.0,3.5,1,9.0,9.0,Đầy đủ,0,0,5.5
60.0,10.80962744,106.6931462,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,2.5,2,4.0,4.0,Nhà trống,0,0,9.3
84.0,10.75698611,106.585666,Sổ hồng/Sổ đỏ,Chưa xác định,3.5,2.5,2,3.0,3.0,Đầy đủ,0,0,7.5
140.0,10.89178412,106.8338162,Sổ hồng/Sổ đỏ,Đông,4.9,30.0,2,2.0,2.0,Cơ bản,1,0,8.5
72.0,10.77046639,106.6318756,Giấy tờ khác,Chưa xác định,4.0,4.5,2,3.0,2.0,Nhà trống,1,0,5.3
160.0,10.7993674,106.6505984,Giấy tờ khác,Chưa xác định,8.0,2.5,5,5.0,5.0,Thỏa thuận,0,0,36.0
72.0,10.73813568,106.7079612,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,4.0,4,4.0,4.0,Đầy đủ,1,0,15.0
54.0,10.87996944,106.6659574,Sổ hồng/Sổ đỏ,Đông,4.5,12.0,4,4.0,5.0,Đầy đủ,1,0,6.5
140.0,10.7725574,106.6693899,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,14.0,5,4.0,4.0,Đầy đủ,1,0,22.0
71.2,10.78763591,106.6014746,Sổ hồng/Sổ đỏ,Đông,7.0,6.0,2,4.0,4.0,Nhà trống,1,0,6.1
71.0,10.82876063,106.6389899,Sổ hồng/Sổ đỏ,Chưa xác định,4.9,2.5,2,3.0,2.0,Thỏa thuận,0,0,7.49
320.0,10.86465,106.741933,Giấy tờ khác,Chưa xác định,12.0,30.0,1,2.0,1.0,Thỏa thuận,1,1,35.0
