area,lat,lon,legal,direction,front_width,access_road,geo_cluster,land_depth,shape_ratio,business_potential,dist_to_center,road_type,price
65.0,21.0031935788608,105.865764420714,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,2.5,43,10.655737704918034,1.7468422467078744,15.0,3.059276671600851,0,12.5
50.0,20.8988664182573,105.843785111909,Sổ hồng/Sổ đỏ,Chưa xác định,4.0,6.0,56,12.195121951219512,2.9744199881023206,24.0,14.455105582728486,1,6.95
100.0,11.1475409807404,106.594130540062,Sổ hồng/Sổ đỏ,Đông Nam,6.0,17.0,76,16.393442622950822,2.687449610319807,102.0,19.614826469717823,2,0.69
240.0,10.8155430780098,106.774769111778,Giấy tờ khác,Chưa xác định,8.0,12.0,4,29.62962962962963,3.657978966620942,96.0,9.648837446216612,2,16.56
80.0,10.8072184691182,106.798244661383,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,8.0,4,15.686274509803923,3.075740099961554,40.0,11.594264702258247,2,6.0
56.0,21.0918415279718,105.889000605238,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,2.5,77,9.18032786885246,1.504971781779092,15.0,7.915050419537795,0,8.2
130.0,20.8657351202075,106.706994709172,Sổ hồng/Sổ đỏ,Chưa xác định,32.0,30.0,62,4.049844236760125,0.1261633718616861,960.0,2.7902053483350113,2,27.0
75.0,20.985991890877745,107.09988959764247,Giấy tờ khác,Chưa xác định,7.0,2.5,7,10.563380281690142,1.487800039674668,17.5,6.627448896665146,0,1.2
106.0,21.414955672916,105.87113597385,Sổ hồng/Sổ đỏ,Đông Nam,5.0,15.0,64,20.784313725490197,4.0753556324490585,75.0,20.07180744691612,2,1.802
51.0,20.9199273246858,105.708430937744,Sổ hồng/Sổ đỏ,Đông,4.15,2.5,56,12.0,2.823529411764706,10.375,19.360094642379195,0,3.4
833.5,10.645768371198,107.225407652523,Sổ hồng/Sổ đỏ,Đông,18.0,10.0,86,46.049723756906076,2.544183632978236,180.0,36.72996791420712,2,3.8341
309.6,16.0859117672045,108.152154716295,Sổ hồng/Sổ đỏ,Chưa xác định,17.5,17.5,55,17.59090909090909,0.9994834710743801,306.25,6.393088899692948,2,24.768
188.0,20.829423682697,104.676711926787,Sổ hồng/Sổ đỏ,Chưa xác định,7.5,31.0,33,24.736842105263158,3.254847645429363,232.5,93.14419071916025,2,15.98
300.0,10.5893328171378,107.071695107753,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,10.0,86,29.702970297029704,2.940888148220763,100.0,27.092455863588974,2,10.5
90.0,10.626074859954032,106.72769462429348,Sổ hồng/Sổ đỏ,Nam,5.0,12.0,39,17.647058823529413,3.460207612456748,60.0,16.551843698598063,2,2.75
139.0,12.2579954983473,109.099783952046,Hợp đồng mua bán,Nam,6.0,16.0,6,22.78688524590164,3.7355549583445313,96.0,10.745390032371196,2,2.2935
133.0,10.7685693911903,106.760910304233,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,12.0,20,21.803278688524593,3.5743079817253434,72.0,6.850565668288977,2,21.28
60.0,16.0310155361303,108.226983426523,Giấy tờ khác,Chưa xác định,4.0,4.0,3,14.634146341463415,3.5693039857227844,16.0,3.711550489575256,1,7.1
114.0,21.0014536142066,107.269235685272,Sổ hồng/Sổ đỏ,Nam,6.0,2.5,36,18.688524590163937,3.0636925557645798,15.0,23.98952073573694,0,3.363
182.0,10.2285020799557,103.961789550305,Sổ hồng/Sổ đỏ,Chưa xác định,8.2,16.0,5,21.927710843373497,2.6418928726956024,131.2,162.66558148090226,2,12.0
100.0,16.069957809183,108.187771018438,Sổ hồng/Sổ đỏ,Nam,5.0,7.5,71,19.607843137254903,3.844675124951942,37.5,2.317295720495503,2,9.5
120.0,11.999908978133906,109.20939005050094,Hợp đồng mua bán,Đông Nam,6.0,20.0,63,19.672131147540984,3.224939532383768,120.0,26.599271940466902,2,2.28
141.0,16.0723944994961,108.243393366959,Giấy tờ khác,Chưa xác định,6.0,15.0,71,23.114754098360656,3.7893039505509276,90.0,4.835094557064371,2,32.0
53.0,10.8775032172541,106.677729069092,Sổ hồng/Sổ đỏ,Đông Bắc,4.0,10.0,99,12.926829268292684,3.15288518738846,40.0,11.794787822950545,2,3.1
102.0,20.9882992435989,105.932476906958,Sổ hồng/Sổ đỏ,Chưa xác định,5.5,4.5,23,18.214285714285715,3.2525510204081636,24.75,9.273858446638988,1,5.8
216.0,10.8251360633851,106.615048577248,Sổ hồng/Sổ đỏ,Đông Bắc,6.0,8.0,31,35.40983606557377,5.804891158290783,48.0,10.83813010203667,2,14.5
137.5,10.7209942957734,106.696541031713,Sổ hồng/Sổ đỏ,Chưa xác định,7.5,16.0,39,18.092105263157897,2.3805401662049865,120.0,5.685942977816662,2,16.5
131.0,10.4052710658293,107.260826254519,Giấy tờ khác,Chưa xác định,5.5,2.5,14,23.392857142857146,4.1772959183673475,13.75,20.401711365320935,0,1.15
160.0,10.8078954898791,106.798354290453,Sổ hồng/Sổ đỏ,Chưa xác định,8.0,2.5,4,19.75308641975309,2.4386526444139616,20.0,11.631075346671627,0,10.5
64.0,20.9276811759526,106.312585262114,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,2.5,53,10.491803278688526,1.7199677506046764,15.0,37.774136806220056,0,3.35
160.0,10.7887273189087,106.80002633075,Sổ hồng/Sổ đỏ,Đông Nam,8.0,16.0,4,19.75308641975309,2.4386526444139616,128.0,11.264583885764855,2,12.0
400.0,20.8610862822061,105.494822904796,Giấy tờ khác,Đông,16.0,6.0,13,24.844720496894407,1.5431503414220127,96.0,41.70559877294472,1,2.68
228.8,10.8014521801993,106.78032021892,Sổ hồng/Sổ đỏ,Đông Nam,10.0,2.5,4,22.653465346534656,2.2429173610430353,25.0,9.535073524658662,0,26.0832
435.0,10.740526507811404,106.83337156477933,Sổ hồng/Sổ đỏ,Chưa xác định,30.0,2.5,4,14.451827242524915,0.480127150914449,75.0,15.167303038176774,0,39.15
123.0,12.2824652726293,109.192745162602,Sổ hồng/Sổ đỏ,Nam,4.4,2.5,74,27.333333333333332,6.0740740740740735,11.0,4.87433641039303,0,3.2
322.7,10.9549576565402,106.752822513793,Sổ hồng/Sổ đỏ,Chưa xác định,8.7,45.0,70,36.67045454545455,4.167097107438017,391.49999999999994,9.815517287676824,2,7.8
100.0,21.43011577926168,105.8672697482694,Sổ hồng/Sổ đỏ,Nam,5.0,11.0,64,19.607843137254903,3.844675124951942,55.0,18.351672985984816,2,2.0
140.0,15.95488789712695,108.28144009297208,Sổ hồng/Sổ đỏ,Chưa xác định,7.0,7.5,47,19.71830985915493,2.777226740726047,52.5,13.934604165527551,2,4.3
342.0,10.7990189428881,106.743191716629,Sổ hồng/Sổ đỏ,Chưa xác định,18.0,12.0,20,18.895027624309392,1.0439241781386404,216.0,5.744940508109171,2,45.5
1000.0,10.9235244892444,106.619604770302,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,2.5,31,163.9344262295082,26.87449610319807,15.0,7.250339139331085,0,7.5
170.0,10.8086357968801,106.820642327622,Sổ hồng/Sổ đỏ,Bắc,6.6,30.0,4,25.373134328358212,3.787034974381823,198.0,13.967204616497648,2,10.2
293.1,10.8040772253923,106.78575448171,Sổ hồng/Sổ đỏ,Đông Nam,15.0,20.0,4,19.41059602649007,1.2854699355291437,300.0,10.192923784913607,2,27.8445
125.0,16.0150579260457,108.252144215057,Sổ hồng/Sổ đỏ,Đông Bắc,5.0,11.5,3,24.50980392156863,4.805843906189928,57.5,6.901170487355611,2,8.75
100.0,20.46044446350464,105.94057385520404,Sổ hồng/Sổ đỏ,Bắc,5.0,15.0,57,19.607843137254903,3.844675124951942,75.0,24.714267981006085,2,2.4
81.0,10.8482283681731,106.783868897408,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,2.5,4,15.882352941176471,3.114186851211073,12.5,12.609718200875733,0,6.39
113.1,21.0251463088937,105.884521961534,Sổ hồng/Sổ đỏ,Tây Nam,4.8,7.0,43,23.081632653061227,4.710537276134945,33.6,3.1691556073675713,2,22.0
105.0,15.983021439842744,108.2332216746298,Sổ hồng/Sổ đỏ,Tây Bắc,5.0,7.5,47,20.58823529411765,4.0369088811995395,37.5,8.60160237752771,2,5.25
40.0,21.038368881907,105.934638480422,Giấy tờ khác,Chưa xác định,6.0,2.5,77,6.557377049180328,1.0749798441279228,15.0,8.420212903875239,0,5.8
60.0,20.8527462473968,106.702746233412,Sổ hồng/Sổ đỏ,Đông Nam,4.5,15.0,62,13.043478260869566,2.8355387523629494,67.5,2.1672904627270637,2,7.62
100.0,21.0773919010477,105.492070822747,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,5.0,32,19.607843137254903,3.844675124951942,25.0,28.834810066320376,1,4.063
208.0,16.0759589822833,108.168123207933,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,15.0,55,20.594059405940595,2.0390157827663957,150.0,4.359480406273997,2,18.2
400.0,10.6303962,107.1217009,Sổ hồng/Sổ đỏ,Chưa xác định,10.0,2.5,86,39.603960396039604,3.9211841976276838,25.0,31.886717373290317,0,5.3
250.0,10.680628522468714,106.73126154616754,Hợp đồng mua bán,Tây Bắc,10.0,25.0,39,24.752475247524753,2.4507401235173023,250.0,10.789838644028414,2,12.5
267.6,12.2559329381129,109.167267411408,Hợp đồng mua bán,Đông Nam,16.0,2.5,6,16.62111801242236,1.0323675784113266,40.0,3.7226760985269243,0,22.0
80.0,10.8075620989888,106.798321048627,Sổ hồng/Sổ đỏ,Tây Nam,5.0,12.0,4,15.686274509803923,3.075740099961554,60.0,11.615031658486734,2,5.65
96.3,10.8884153162863,106.762481774148,Giấy tờ khác,Chưa xác định,4.0,5.0,70,23.48780487804878,5.728732897085069,20.0,11.64248451556091,1,3.95
80.0,10.6445641904557,106.69191364272,Sổ hồng/Sổ đỏ,Nam,5.0,40.0,39,15.686274509803923,3.075740099961554,200.0,14.198490645669033,2,1.9
950.7,10.4782850234994,107.43591260165,Sổ hồng/Sổ đỏ,Chưa xác định,17.0,2.5,14,55.59649122807017,3.2512567969631676,42.5,41.17104919984992,0,10.0
200.0,15.8962211847322,108.318263286847,Sổ hồng/Sổ đỏ,Đông Nam,10.0,11.5,38,19.801980198019802,1.9605920988138419,115.0,21.524431265270746,2,7.55
100.0,21.3123492533114,105.874112503135,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,2.5,64,16.393442622950822,2.687449610319807,15.0,25.22164275605412,0,0.83
85.0,10.9350729093449,106.800953424898,Sổ hồng/Sổ đỏ,Bắc,5.0,12.0,70,16.666666666666668,3.2679738562091507,60.0,5.189880150530215,2,2.65
90.0,10.687906054686056,106.92088490413356,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,14.0,67,17.647058823529413,3.460207612456748,70.0,26.05743028948595,2,1.25
210.0,10.714644036442968,106.7423785524236,Hợp đồng mua bán,Chưa xác định,7.0,14.0,39,29.577464788732396,4.16584011108907,98.0,8.000312464433721,2,22.05
80.0,10.5857306081032,106.74257074508076,Sổ hồng/Sổ đỏ,Đông Nam,20.0,20.0,39,3.980099502487562,0.19801490062127172,400.0,21.280439729547354,2,1.8
85.0,12.228971615470268,109.17982056182854,Hợp đồng mua bán,Tây Nam,5.0,13.0,6,16.666666666666668,3.2679738562091507,65.0,2.1351715488461984,2,7.6
100.0,10.632658728660292,106.97128923894964,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,12.0,67,19.607843137254903,3.844675124951942,60.0,33.61635256645744,2,1.7
168.0,21.1290477217828,105.549383554257,Sổ hồng/Sổ đỏ,Chưa xác định,5.2,4.0,32,31.69811320754717,5.980776076895693,20.8,26.398758296758054,1,3.35
89.0,20.3947760724502,105.61766835523,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,16.5,89,14.590163934426231,2.391830153184628,99.0,58.27819162762124,2,3.5
87.5,10.696056503931043,106.70486152986582,Sổ hồng/Sổ đỏ,Bắc,7.0,8.0,39,12.323943661971832,1.7357667129537793,56.0,8.485982326491378,2,6.35
198.7,10.630267880546,106.494547088022,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,6.0,51,32.57377049180328,5.339962375705456,36.0,27.282473367482996,1,2.4
78.0,20.8745002062537,105.599862998148,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,28.0,13,12.78688524590164,2.0962106960494493,168.0,31.47664140616033,2,3.9
312.0,20.9390027669245,107.130031138659,Sổ hồng/Sổ đỏ,Đông Nam,12.0,12.0,7,25.785123966942148,2.1310019807390206,144.0,9.381939184257964,2,76.44
50.0,20.9681274696902,105.754716421323,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,11.0,56,8.196721311475411,1.3437248051599036,66.0,12.317553811463,2,12.8
158.0,10.6249654988082,107.0809885791,Sổ hồng/Sổ đỏ,Đông,5.0,6.0,86,30.98039215686275,6.074586697424069,30.0,31.021661132670722,1,1.25
229.0,10.8805464600467,106.911522227442,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,8.0,93,37.54098360655738,6.154259607632358,48.0,11.379440436044698,2,2.519
205.0,10.8084146413834,106.821520191589,Giấy tờ khác,Chưa xác định,6.0,2.5,4,33.606557377049185,5.509271701155605,15.0,14.051892845193239,0,15.0
82.5,10.79835331094275,106.8283896850666,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,2.5,4,13.524590163934427,2.2171459285138404,15.0,14.506553163066865,0,5.7
113.9,20.8444256000604,105.596910883207,Sổ hồng/Sổ đỏ,Đông Nam,6.0,2.5,13,18.672131147540984,3.06100510615426,15.0,33.658915601634,0,2.5
80.0,16.049447311593493,108.23710218071938,Sổ hồng/Sổ đỏ,Đông,5.0,5.5,71,15.686274509803923,3.075740099961554,27.5,3.770072889457338,1,10.9
171.7,10.8653797751411,106.686398627952,Sổ hồng/Sổ đỏ,Đông Bắc,5.0,6.0,99,33.666666666666664,6.601307189542483,30.0,10.45336916144762,1,8.7
100.0,10.876967303113595,106.85755682160334,Sổ hồng/Sổ đỏ,Đông Nam,5.0,2.5,93,19.607843137254903,3.844675124951942,12.5,9.089616847235918,0,2.7
112.8,13.2340810905396,109.288319342136,Sổ hồng/Sổ đỏ,Nam,6.0,2.5,87,18.491803278688526,3.031443160440742,15.0,61.38241080845479,0,0.9
97.0,20.78589079300593,105.34101786184232,Sổ hồng/Sổ đỏ,Đông Nam,6.0,2.5,13,15.901639344262296,2.6068261220102125,15.0,60.03821770683831,0,1.85
75.0,21.0685714662903,105.710675756175,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,15.0,26,12.295081967213115,2.015587207739855,90.0,15.546520112903808,2,14.3
96.8,12.2606955575128,109.186709657535,Sổ hồng/Sổ đỏ,Nam,4.5,10.0,74,21.043478260869566,4.574669187145558,45.0,2.665732999810603,2,5.0336
100.0,10.858534237939434,106.88388455827356,Giấy tờ khác,Chưa xác định,6.0,2.5,93,16.393442622950822,2.687449610319807,15.0,11.877507003956094,0,2.4
465.0,10.241094614323364,103.95902551246368,Sổ hồng/Sổ đỏ,Tây,16.0,7.0,5,28.881987577639748,1.7939122719030898,112.0,162.82659488077613,2,15.345
100.0,15.9791774512162,108.216117752449,Sổ hồng/Sổ đỏ,Đông,5.0,7.0,3,19.607843137254903,3.844675124951942,35.0,8.495604377427064,2,5.25
120.0,11.1963248744379,106.326013745814,Sổ hồng/Sổ đỏ,Chưa xác định,6.0,6.0,44,19.672131147540984,3.224939532383768,36.0,42.900762655131,1,1.0
75.0,20.98728774492749,107.1003061899512,Hợp đồng mua bán,Chưa xác định,6.0,2.5,7,12.295081967213115,2.015587207739855,15.0,6.730303006625502,0,2.4
90.0,10.8747656060359,106.573799761721,Sổ hồng/Sổ đỏ,Chưa xác định,5.0,5.0,31,17.647058823529413,3.460207612456748,25.0,14.523695448655074,1,3.3
