area,lat,lon,legal,front_width,access_road,floors,bedrooms,bathrooms,interior,is_corner,road_class,price
53.7,21.038681171051,105.934675153715,Sổ hồng/Sổ đỏ,6.3,2.5,6,4,3,Đầy đủ,0,0,8.86
40.0,21.1687392200377,105.779425958742,Giấy tờ khác,5.0,2.5,3,3,3,Thỏa thuận,0,0,3.2
60.0,21.0773126204752,105.691350150808,Giấy tờ khác,4.0,9.0,5,6,4,Đầy đủ,0,2,9.6
48.0,21.0267840599908,105.833440937585,Sổ hồng/Sổ đỏ,3.8,10.0,6,10,10,Đầy đủ,0,2,20.0
36.0,21.0195729565407,105.838985587677,Sổ hồng/Sổ đỏ,3.5,2.5,5,3,3,Đầy đủ,0,0,5.1
52.0,21.0507155679691,105.754267316462,Sổ hồng/Sổ đỏ,4.4,4.0,7,4,4,Đầy đủ,0,1,21.6
46.0,21.0264685474052,105.892950363643,Sổ hồng/Sổ đỏ,4.5,2.5,6,4,5,Đầy đủ,0,0,12.49
72.8,21.0107378897561,105.79945148071,Sổ hồng/Sổ đỏ,12.0,12.0,5,5,5,Đầy đủ,0,2,30.0
132.0,21.0658985258958,105.898151423131,Giấy tờ khác,4.5,2.5,5,4,4,Đầy đủ,0,0,45.0
70.0,20.9838342092425,105.841092331131,Sổ hồng/Sổ đỏ,12.0,2.5,6,4,4,Đầy đủ,0,0,11.5
48.0,20.9948761185289,105.857034588595,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,4,Đầy đủ,0,0,8.28
35.0,21.0499832680899,105.804618539367,Sổ hồng/Sổ đỏ,4.0,4.0,5,3,4,Đầy đủ,1,1,8.5
54.0,20.9842893372628,105.799928020356,Sổ hồng/Sổ đỏ,4.0,2.5,4,4,3,Nhà trống,0,0,17.5
50.0,21.0585829873015,105.897380811239,Sổ hồng/Sổ đỏ,3.6,4.0,4,4,4,Thỏa thuận,0,1,12.9
33.0,21.0375794637388,105.773888372367,Sổ hồng/Sổ đỏ,4.5,3.0,5,4,5,Đầy đủ,0,0,8.0
47.0,20.9811553698354,105.834575913303,Sổ hồng/Sổ đỏ,5.0,5.0,3,3,2,Cơ bản,0,1,12.8
55.0,20.9970963626871,105.824526222035,Sổ hồng/Sổ đỏ,6.0,4.0,6,5,6,Đầy đủ,1,1,23.5
245.0,21.0446900708343,105.868463146157,Sổ hồng/Sổ đỏ,9.0,40.0,3,4,4,Đầy đủ,1,2,50.0
36.5,20.9603434246954,105.743755869237,Giấy tờ khác,3.8,2.5,5,3,2,Cơ bản,0,0,6.0
39.0,21.0303468089153,105.732089045983,Sổ hồng/Sổ đỏ,3.5,2.0,4,4,4,Thỏa thuận,0,0,6.9
80.0,20.9635157410975,105.867748620936,Sổ hồng/Sổ đỏ,5.0,2.5,7,6,7,Nhà trống,1,0,33.5
45.0,20.9681414730562,105.772346327089,Sổ hồng/Sổ đỏ,4.1,2.5,5,4,4,Thỏa thuận,0,0,8.5
29.0,21.0416792078994,105.786374792016,Sổ hồng/Sổ đỏ,4.1,6.0,5,4,4,Đầy đủ,0,1,11.5
31.0,21.0197813479754,105.82392510265,Sổ hồng/Sổ đỏ,3.0,5.0,3,3,3,Cơ bản,0,1,9.5
45.0,20.9342334666878,105.800395772674,Sổ hồng/Sổ đỏ,4.5,3.0,4,4,4,Đầy đủ,0,0,6.3
58.0,21.0376977659264,105.800349102564,Sổ hồng/Sổ đỏ,4.5,2.5,6,6,5,Đầy đủ,0,0,11.0
90.0,20.9671884894158,105.865865737011,Sổ hồng/Sổ đỏ,4.0,2.5,2,2,2,Cơ bản,0,0,18.0
57.0,21.0322558431457,105.774207404503,Sổ hồng/Sổ đỏ,4.0,4.5,4,4,5,Đầy đủ,0,1,14.0
35.0,21.0340678685485,105.915770705789,Sổ hồng/Sổ đỏ,4.5,6.0,4,4,4,Thỏa thuận,0,1,8.7
42.0,20.9590604100823,105.785701479122,Sổ hồng/Sổ đỏ,3.5,2.5,5,6,6,Cơ bản,0,0,14.0
60.0,21.0439564095598,105.872596958886,Sổ hồng/Sổ đỏ,4.68,3.0,7,4,5,Đầy đủ,0,0,21.0
36.9,21.0022740314361,105.829747112474,Sổ hồng/Sổ đỏ,4.2,3.0,5,5,4,Đầy đủ,0,0,7.1
55.0,21.0455012705344,105.880583594329,Sổ hồng/Sổ đỏ,6.5,2.5,5,6,4,Đầy đủ,0,0,11.6
36.0,20.9744322333155,105.781860088096,Sổ hồng/Sổ đỏ,5.0,3.0,5,3,4,Nhà trống,0,0,6.8
60.0,20.9682794893901,105.772296545746,Giấy tờ khác,4.1,2.5,5,4,4,Thỏa thuận,1,0,8.8
36.0,21.0537773022732,105.808762113381,Sổ hồng/Sổ đỏ,3.5,2.5,5,3,3,Nhà trống,1,0,9.8
110.0,21.0126879425171,105.820193659023,Sổ hồng/Sổ đỏ,4.8,10.0,5,10,11,Đầy đủ,0,2,50.5
80.0,21.008635308699,105.863373483227,Sổ hồng/Sổ đỏ,5.2,8.0,5,5,5,Đầy đủ,0,2,28.0
35.0,21.0502902594855,105.790068177258,Sổ hồng/Sổ đỏ,4.5,2.5,5,3,3,Đầy đủ,1,0,9.4
50.0,20.991119557498,105.813263206646,Sổ hồng/Sổ đỏ,4.0,2.5,6,3,4,Đầy đủ,0,0,14.65
48.0,21.0153779680244,105.832369186225,Sổ hồng/Sổ đỏ,4.0,2.5,4,4,4,Nhà trống,1,0,9.3
38.0,20.9889612706061,105.803597308695,Sổ hồng/Sổ đỏ,4.0,3.0,6,3,5,Nhà trống,1,0,12.9
260.0,21.0303064534835,105.838022732845,Sổ hồng/Sổ đỏ,4.5,2.5,7,4,4,Thỏa thuận,0,0,60.0
35.0,21.0479863003578,105.745630061993,Sổ hồng/Sổ đỏ,4.5,2.5,5,5,3,Nhà trống,0,0,9.5
40.0,20.9911787155588,105.862678386312,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,4,Đầy đủ,0,0,7.0
53.0,21.0319121469783,105.825074453228,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,4,Đầy đủ,1,0,10.5
35.0,20.9828082141759,105.821132953798,Sổ hồng/Sổ đỏ,4.5,2.5,6,4,5,Đầy đủ,0,0,10.9
55.0,21.0597575280815,105.804524760585,Sổ hồng/Sổ đỏ,4.5,2.5,4,4,4,Cơ bản,1,0,13.5
56.0,20.9911075410668,105.863099606013,Sổ hồng/Sổ đỏ,4.5,6.0,7,5,6,Đầy đủ,0,1,24.8
42.0,20.9195999955826,105.708485738426,Giấy tờ khác,4.5,2.5,3,3,3,Nhà trống,0,0,4.0
44.0,20.9874400076733,105.838702783679,Sổ hồng/Sổ đỏ,4.0,2.5,5,4,4,Đầy đủ,0,0,19.8
193.0,21.0329105148288,105.791913058912,Sổ hồng/Sổ đỏ,14.0,2.5,4,6,5,Cơ bản,0,0,85.0
75.0,21.0624938997277,105.918492627643,Sổ hồng/Sổ đỏ,5.0,2.5,7,6,7,Nhà trống,1,0,22.5
50.0,21.0279127629404,105.892982252091,Sổ hồng/Sổ đỏ,4.5,50.0,6,4,5,Đầy đủ,0,2,11.0
283.0,21.0084905945177,105.801388040053,Sổ hồng/Sổ đỏ,15.0,2.5,3,4,3,Nhà trống,0,0,59.9
145.0,20.9963096856266,105.826186986441,Sổ hồng/Sổ đỏ,4.5,18.0,9,9,9,Đầy đủ,0,2,50.0
42.0,20.989597767156,105.761478351054,Sổ hồng/Sổ đỏ,4.2,3.0,4,4,4,Đầy đủ,0,0,7.5
55.0,21.0108953279417,105.799712299466,Sổ hồng/Sổ đỏ,4.5,2.5,6,4,4,Đầy đủ,0,0,16.5
50.0,20.9834021338774,105.85003172206,Sổ hồng/Sổ đỏ,4.0,12.0,6,4,4,Đầy đủ,0,2,23.6
60.0,20.9979761074649,105.817225466784,Sổ hồng/Sổ đỏ,4.5,2.5,5,4,3,Cơ bản,0,0,11.5
22.0,21.0438932889848,105.926468642822,Sổ hồng/Sổ đỏ,4.0,2.5,4,3,3,Nhà trống,0,0,5.9
55.0,21.0182950230359,105.838101979556,Sổ hồng/Sổ đỏ,4.5,2.5,7,12,12,Đầy đủ,0,0,15.5
45.0,21.0165607531911,105.822529948663,Sổ hồng/Sổ đỏ,4.2,3.0,6,4,4,Đầy đủ,1,0,9.8
22.0,21.05345324319,105.839330593815,Sổ hồng/Sổ đỏ,3.0,5.0,2,2,1,Nhà trống,0,1,7.58
31.0,21.0353596782898,105.872725124668,Sổ hồng/Sổ đỏ,4.5,2.5,5,3,4,Đầy đủ,0,0,9.8
210.0,21.0620542388472,105.894777207997,Sổ hồng/Sổ đỏ,4.5,2.5,7,4,4,Đầy đủ,0,0,44.5
42.0,20.9913392472446,105.813150802015,Sổ hồng/Sổ đỏ,4.0,4.0,5,4,4,Nhà trống,0,1,11.8
38.0,20.93060409663924,105.74126957816004,Sổ hồng/Sổ đỏ,4.3,4.0,5,4,4,Đầy đủ,0,1,5.0
75.0,21.0187031390261,105.792316572577,Sổ hồng/Sổ đỏ,5.1,10.0,7,6,6,Đầy đủ,0,2,42.5
113.6,20.9980636559012,105.850373387899,Sổ hồng/Sổ đỏ,4.5,2.5,8,7,5,Đầy đủ,0,0,74.0
50.0,21.0116785054534,105.853348084682,Sổ hồng/Sổ đỏ,4.0,2.5,4,4,3,Đầy đủ,0,0,14.0
