area,lat,lon,bedrooms,bathrooms,legal,interior,project_name,project_name_raw,price
69.0,10.723730132354564,106.72485325191307,2.0,2.0,Hợp đồng mua bán,Nhà trống,8.494813972033889,Hưng Phúc,7.2
55.0,10.80560985,106.7706466,1.0,1.0,Hợp đồng mua bán,Đầy đủ,8.485144897577076,Landmark 81,7.5
75.9,20.95923916,105.8392844,3.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,6.2397550238425135,Other_Hoàng Mai,5.25
50.0,10.66308485,106.5672665,2.0,1.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,1.3
75.0,10.78910914,106.7552315,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,7.529605631284914,Other_Quận 2,6.2
118.0,10.7274305485605,106.714727623539,3.0,2.0,Sổ hồng/Sổ đỏ,Cơ bản,5.605951661736071,Other_Unknown,9.2
80.0,10.97081748,106.665486,2.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,5.605951661736071,Other_Unknown,2.18
73.0,20.9547123,105.7448271,2.0,1.0,Giấy tờ khác,Nhà trống,5.93114323308883,Other_Hà Đông,5.08
74.0,10.739473589443756,106.64442928725258,3.0,2.0,Hợp đồng mua bán,Nhà trống,7.470223405010899,Other_Quận 1,4.65
84.0,10.72385901,106.716141,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,7.711129172829317,Scenic Valley,8.0
72.0,10.72510764,106.6640407,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,4.435233401701694,Mizuki Park,4.2
45.0,20.94111395,105.9815785,1.0,1.0,Giấy tờ khác,Nhà trống,5.605951661736071,Other_Unknown,3.0
99.0,10.7900283,106.7170142,2.0,2.0,Hợp đồng mua bán,Đầy đủ,10.254185953358286,Sunwah Pearl,14.5
38.0,10.95618593,106.723749,1.0,1.0,Hợp đồng mua bán,Cơ bản,5.605951661736071,Other_Unknown,1.5
60.0,10.76742935,106.7041321,2.0,1.0,Giấy tờ khác,Thỏa thuận,7.0850678654857004,River Gate,5.9
110.0,21.05925618,105.7837347,3.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,5.605951661736071,Other_Unknown,6.55
150.0,21.0150717774126,105.724689824446,3.0,3.0,Sổ hồng/Sổ đỏ,Đầy đủ,5.605951661736071,Other_Unknown,10.5
80.0,10.75514889,106.7186661,2.0,2.0,Hợp đồng mua bán/Chờ sổ,Thỏa thuận,6.696233252486732,Sunrise City,5.5
112.0,21.01417798,105.801864,3.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,9.423773333331123,Other_Cầu Giấy,9.5
77.0,10.73168244,106.717189,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.46690909096685,Other_Tân Phú,7.6
91.0,10.92488614,106.7159035,3.0,2.0,Hợp đồng mua bán,Nhà trống,4.486523607843137,Other_Thủ Đức,4.277
83.0,16.46121472,107.5943754,3.0,2.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,5.1
170.0,21.02385111,105.8088184,4.0,3.0,Sổ hồng/Sổ đỏ,Cơ bản,7.681093239005807,Other_Đống Đa,22.8
62.0,12.2736904,109.201475,2.0,2.0,Hợp đồng mua bán,Nhà trống,3.6648793701907953,Mường Thanh,3.9
52.0,10.65141288,106.5494244,2.0,2.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,1.7
50.0,10.64717909,106.5429974,2.0,2.0,Hợp đồng mua bán,Đầy đủ,5.605951661736071,Other_Unknown,1.6
104.0,21.03452878,105.7694737,3.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,7.852508765293277,Other_Nam Từ Liêm,12.2
125.0,21.0347671,105.795384,3.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,14.5
71.0,10.791877631637282,106.76595580391042,2.0,2.0,Hợp đồng mua bán,Cơ bản,7.529605631284914,Other_Quận 2,8.5
102.0,20.99453354,105.7893906,3.0,2.0,Giấy tờ khác,Thỏa thuận,5.605951661736071,Other_Unknown,8.9
96.0,10.72235904,106.7033704,3.0,2.0,Hợp đồng mua bán,Đầy đủ,4.943472278739092,Sunrise Riverside,6.099
77.0,20.97234502,105.8667269,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,6.2397550238425135,Other_Hoàng Mai,6.05
77.5,10.80591728,106.7715718,2.0,2.0,Hợp đồng mua bán,Cơ bản,6.501183490566007,Sky Garden,8.806
88.0,20.94138124,105.9806366,3.0,2.0,Hợp đồng mua bán,Nhà trống,5.605951661736071,Other_Unknown,4.3
68.0,21.04219679,105.9269606,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,6.290375838408654,Vinhomes Riverside,4.25
89.0,10.698966056883869,106.72988388402732,3.0,2.0,Hợp đồng mua bán,Thỏa thuận,6.521302912621359,Other_Quận 7,3.85
107.0,10.86836324,106.7624523,3.0,2.0,Giấy tờ khác,Nhà trống,5.605951661736071,Other_Unknown,4.6
52.0,10.91940609,106.8243361,2.0,1.0,Sổ hồng/Sổ đỏ,Cơ bản,6.501183490566007,Sky Garden,1.9
135.0,10.80468221,106.7444815,3.0,3.0,Sổ hồng/Sổ đỏ,Nhà trống,5.605951661736071,Other_Unknown,24.0
82.5,16.03887749,108.247406,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,6.6
51.0,10.8337841033936,106.760665893555,1.0,1.0,Giấy tờ khác,Thỏa thuận,5.605951661736071,Other_Unknown,2.8
90.0,10.73237937,106.7372159,3.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,6.521302912621359,Other_Quận 7,4.85
45.0,21.016665,105.7459375,1.0,1.0,Sổ hồng/Sổ đỏ,Đầy đủ,5.605951661736071,Other_Unknown,2.7
79.0,20.99126907,105.8692294,2.0,2.0,Sổ hồng/Sổ đỏ,Thỏa thuận,5.605951661736071,Other_Unknown,9.4
55.0,10.81369463,106.7844902,1.0,1.0,Sổ hồng/Sổ đỏ,Đầy đủ,4.024736541570099,Other_Quận 9,3.15
40.3,10.88457861,106.7044589,1.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,5.605951661736071,Other_Unknown,1.15
48.0,20.5558336,105.9379866,3.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,5.605951661736071,Other_Unknown,1.707
65.0,10.69252527,106.6430708,2.0,2.0,Sổ hồng/Sổ đỏ,Đầy đủ,3.720306452150646,Lovera Vista,3.25
36.0,10.6463808,106.5430739,1.0,1.0,Hợp đồng mua bán,Cơ bản,3.04045792808305,Other_Bình Chánh,1.2
89.2,20.83567075,106.7169307,2.0,2.0,Sổ hồng/Sổ đỏ,Nhà trống,5.605951661736071,Other_Unknown,5.5
61.0,10.72211106,106.6117574,2.0,1.0,Sổ hồng/Sổ đỏ,Nhà trống,4.305824376867976,Akari City,3.9
97.0,10.7990818,106.75177,3.0,2.0,Giấy tờ khác,Nhà trống,4.486523607843137,Other_Thủ Đức,7.55
92.8,20.94951987,105.9857094,3.0,2.0,Hợp đồng mua bán,Cơ bản,5.605951661736071,Other_Unknown,6.14
47.0,10.919984,106.7824134,2.0,1.0,Hợp đồng mua bán,Nhà trống,7.470223405010899,Other_Quận 1,1.75
